"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-30","14.76","0.00","0.0","0.0","86","94","76","  170","  170","23.9","31.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-05-31","17.22","0.00","0.0","0.0","86","96","75","  180","  180","29.1","34.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-01","14.09","0.00","0.0","0.0","86","96","76","  180","  180","21.9","27.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-02","10.96","0.00","0.0","0.0","88","98","78","   30","   30","23.0","30.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-03","11.63","0.00","0.0","0.0","86","92","74","   30","   30","25.1","31.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-04","6.26","0.20","0.0","0.0","77","84","67","  270","  270","25.1","34.0","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-05","9.62","0.00","0.0","0.0","81","94","71","  130","  130","19.9","23.9","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-06","12.30","0.30","0.0","0.0","85","96","72","  130","  140","47.0","59.1","    1",,"    1",,"    1",,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-07","13.42","0.63","0.0","0.0","85","95","72","   10","   20","32.0","42.9","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-08","11.41","0.00","0.0","0.0","80","94","71","  170","  170","23.0","27.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-09","12.30","0.00","0.0","0.0","85","94","76","  150","  180","18.1","23.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-10","13.65","0.00","0.0","0.0","85","96","75","  170","  170","21.9","27.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-11","16.33","0.00","0.0","0.0","87","95","78","  210","  200","25.9","33.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-12","12.30","0.00","0.0","0.0","86","95","78","  170","  180","21.0","25.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-13","12.08","0.00","0.0","0.0","87","97","78","  220","  230","21.0","25.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-06-14","12.30","0.00","0.0","0.0","88","97","78","  200","  180","21.9","27.1",,,,,,,,
